Service Domain,Business Area,Business Domain,functionalPattern,assetType,genericArtefactType,Examples Of Use,Role Definition
Building Maintenance,Resource Management,Buildings And Equipment,Maintain,Building,Maintenance Arrangement,Building and repair work is scheduled and undertaken using contractors at a bank branch location,Administer and execute site and utility maintenance and repair activities (building refit and decoration etc.)
Equipment Administration,Resource Management,Buildings And Equipment,Administer,Office Equipment,Administrative Plan,A range of office equipment is replaced as better lease terms and performance are available from an alternate supplier,"Track the operational state and administer assignment, maintenance and movements/inventory of available office equipment (printers, NW, Faxes, Shredders, kitchen etc..)"
Equipment Maintenance,Resource Management,Buildings And Equipment,Maintain,Office Equipment,Maintenance Arrangement,Regular scheduled maintenance and consumables provision is undertaken for office equipment at a location,Administer the regular and ad hoc maintenance and repair of office equipment (typically excludes IT)
Property Portfolio,Business Management,Business Direction,Analyze,Building Portfolio,Analysis,A new property is acquired and space allocated to business units based on demand,Manage and evaluate the fit to needs and effective utilization of the site/property portfolio for owned and leased properties. Optimize the allocation of business functions/divisions to the building and track and project capacity requirements
Site Administration,Resource Management,Buildings And Equipment,Administer,Building,Administrative Plan,A business unit moves into a new location requiring that space and equipment be configured and suitable access controls and space assignments made,Oversee the configuration and assignment of committed space and facilities to business units to optimize facility leverage and meet business space requirements. Manage the assignment of access rights and security tags etc. to staff as necessary for access control
Site Operations,Resource Management,Buildings And Equipment,Administer,Building Services,Administrative Plan,"A day in the life of a site, administering access, allocating bookable space and overseeing maintenance and repair work","Operate the day to day access and maintenance of work locations, including site access and environment security, assignable space and equipment allocation, facility/utility assurance and cleaning services coordination"
Utilities Administration,Resource Management,Buildings And Equipment,Administer,Utilities,Administrative Plan,Utilities service disruption and recovery is handled at a location,"Administer the sourcing, service agreements and delivery of site utilities (heat, cooling, water, power etc)"
Business Unit Accounting,Resource Management,Unit Management,Track,Business Unit Accounting,Log,"Business unit expenses, profits and losses are tracked on a journal (and periodically posted to the associated sub ledger) for accounting purposes",Maintain business unit accounting records
Business Unit Direction,Resource Management,Unit Management,Direct,Business Unit,Strategy,Business unit management direct business unit resources to meet the operating plan commitments,Define and orchestrate business unit activity against the unit business strategy and operating plan
Business Unit Financial Analysis,Resource Management,Unit Management,Analyze,Business Unit Finance,Analysis,Business unit management analyze the activity and business performance of the unit to rebalance or direct activity as necessary,Track and assess the financial performance of the business unit against projected performance and respond as appropriate
Business Unit Financial Operations,Resource Management,Unit Management,Administer,Busines Unit Budegt,Administrative Plan,Business unit costs and revenues are checked and booked against the business unit budget,Authorize and book payments and receipts against the unit's financial transaction account
Business Unit Management,Resource Management,Unit Management,Manage,Business Unit,Management Plan,A business unit consolidates activity and performance details for periodic internal management reporting,"Handles the oversight and management of a general organizational business unit. This includes the definition and implementation of the management plan, overseeing ongoing activity and performance assessments and troubleshooting issues that might arise"
Organization Direction,Business Management,Business Direction,Direct,Organization,Strategy,Business planners determine the resourcing needs and organization structure for the enterprise and make adjustments as necessary,"Develop, maintain and implement the enterprise organization chart. Assign roles and responsibilities and track coverage"
Continuity Planning,Business Management,Corporate Services,Manage,Enterprise Continuity Assurance,Management Plan,A business continuity plan is developed for key business activities and assurance tests performed,"Develop, maintain and test continuity plans and supporting facilities for an appropriate range of possible failure scenarios"
Corporate Policies,Business Management,Business Direction,Design,Corporate Policy,Specification,Corporate policies are defined and published across the enterprise,Develop and communicate corporate policies that govern business execution
Corporate Strategy,Business Management,Business Direction,Direct,Enterprise,Strategy,The corporate strategy and underlying business performance goals are defined and communicated,"Define and communicate the corporate strategy and plan. Direct business activity to meet, refine and improve the corporate goals and approaches"
Enterprise Architecture,Business Development,Intelectual Property And Knowledge,Design,Enterprise Architecture,Specification,"Example of use:
Business planning specialists define target business blueprints for staffing and information system/application support for the enterprise","Develop and maintain a comprehensive array of enterprise architectural designs and blueprints that reflect the corporate strategy, plan and operational configuration of the enterprise. Support the adoption of the business architecture throughout all procedure and systems development and deployment activities.

Typical domains of Enterprise Architecture include Strategy Architecture, Business Architecture, Information Architecture, Application Architecture, Data Architecture, Technology Architecture, Physical Architecture, Security Architecture and all kind of sub-archtiectures."
Products and Services Direction,Business Management,Business Direction,Direct,Products And Services,Strategy,Senior product and service management assess performance and define the policies governing product and service delivery,Develop and communicate product and service policies and adapt in response to changing needs and to practical experience
Corporate Alliance and Stake Holder,Business Management,Corporate Relations,Manage,Alliance Partner Relationship,Management Plan,Corporate strategy is communicated and aligned with a product alliance partner,Manage key alliance and stake holder relationship - define tasks needed to develop and maintain contact and ensure relevant information is shared as appropriate
