Service Operation,baseCRBQName,Service Domain,Role Definition
Request Document Directory Entry,DocumentDirectoryEntry,Document Directory,Role for Request Document Directory Entry service operation
Control Document Directory Entry,DocumentDirectoryEntry,Document Directory,Role for Control Document Directory Entry service operation
Execute Document Directory Entry,DocumentDirectoryEntry,Document Directory,Role for Execute Document Directory Entry service operation
Notify Document Directory Entry,DocumentDirectoryEntry,Document Directory,Role for Notify Document Directory Entry service operation
Register Document Directory Entry,DocumentDirectoryEntry,Document Directory,Role for Register Document Directory Entry service operation
Retrieve Document Directory Entry,DocumentDirectoryEntry,Document Directory,Role for Retrieve Document Directory Entry service operation
Update Document Directory Entry,DocumentDirectoryEntry,Document Directory,Role for Update Document Directory Entry service operation
Execute Document Amendment Properties,DocumentAmendmentProperties,Document Directory,Role for Execute Document Amendment Properties service operation
Execute Document Archiving Properties,DocumentArchivingProperties,Document Directory,Role for Execute Document Archiving Properties service operation
Execute Document Reference Properties,DocumentReferenceProperties,Document Directory,Role for Execute Document Reference Properties service operation
Execute Document Update History Properties,DocumentUpdateHistoryProperties,Document Directory,Role for Execute Document Update History Properties service operation
Execute Document Verification Properties,DocumentVerificationProperties,Document Directory,Role for Execute Document Verification Properties service operation
Execute Document Version Properties,DocumentVersionProperties,Document Directory,Role for Execute Document Version Properties service operation
Notify Document Amendment Properties,DocumentAmendmentProperties,Document Directory,Role for Notify Document Amendment Properties service operation
Notify Document Archiving Properties,DocumentArchivingProperties,Document Directory,Role for Notify Document Archiving Properties service operation
Notify Document Reference Properties,DocumentReferenceProperties,Document Directory,Role for Notify Document Reference Properties service operation
Notify Document Update History Properties,DocumentUpdateHistoryProperties,Document Directory,Role for Notify Document Update History Properties service operation
Notify Document Verification Properties,DocumentVerificationProperties,Document Directory,Role for Notify Document Verification Properties service operation
Notify Document Version Properties,DocumentVersionProperties,Document Directory,Role for Notify Document Version Properties service operation
Register Document Amendment Properties,DocumentAmendmentProperties,Document Directory,Role for Register Document Amendment Properties service operation
Register Document Archiving Properties,DocumentArchivingProperties,Document Directory,Role for Register Document Archiving Properties service operation
Register Document Reference Properties,DocumentReferenceProperties,Document Directory,Role for Register Document Reference Properties service operation
Register Document Update History Properties,DocumentUpdateHistoryProperties,Document Directory,Role for Register Document Update History Properties service operation
Register Document Verification Properties,DocumentVerificationProperties,Document Directory,Role for Register Document Verification Properties service operation
Register Document Version Properties,DocumentVersionProperties,Document Directory,Role for Register Document Version Properties service operation
Request Document Amendment Properties,DocumentAmendmentProperties,Document Directory,Role for Request Document Amendment Properties service operation
Request Document Archiving Properties,DocumentArchivingProperties,Document Directory,Role for Request Document Archiving Properties service operation
Request Document Reference Properties,DocumentReferenceProperties,Document Directory,Role for Request Document Reference Properties service operation
Request Document Update History Properties,DocumentUpdateHistoryProperties,Document Directory,Role for Request Document Update History Properties service operation
Request Document Verification Properties,DocumentVerificationProperties,Document Directory,Role for Request Document Verification Properties service operation
Request Document Version Properties,DocumentVersionProperties,Document Directory,Role for Request Document Version Properties service operation
Retrieve Document Amendment Properties,DocumentAmendmentProperties,Document Directory,Role for Retrieve Document Amendment Properties service operation
Retrieve Document Archiving Properties,DocumentArchivingProperties,Document Directory,Role for Retrieve Document Archiving Properties service operation
Retrieve Document Reference Properties,DocumentReferenceProperties,Document Directory,Role for Retrieve Document Reference Properties service operation
Retrieve Document Update History Properties,DocumentUpdateHistoryProperties,Document Directory,Role for Retrieve Document Update History Properties service operation
Retrieve Document Verification Properties,DocumentVerificationProperties,Document Directory,Role for Retrieve Document Verification Properties service operation
Retrieve Document Version Properties,DocumentVersionProperties,Document Directory,Role for Retrieve Document Version Properties service operation
Update Document Amendment Properties,DocumentAmendmentProperties,Document Directory,Role for Update Document Amendment Properties service operation
Update Document Archiving Properties,DocumentArchivingProperties,Document Directory,Role for Update Document Archiving Properties service operation
Update Document Reference Properties,DocumentReferenceProperties,Document Directory,Role for Update Document Reference Properties service operation
Update Document Update History Properties,DocumentUpdateHistoryProperties,Document Directory,Role for Update Document Update History Properties service operation
Update Document Verification Properties,DocumentVerificationProperties,Document Directory,Role for Update Document Verification Properties service operation
Update Document Version Properties,DocumentVersionProperties,Document Directory,Role for Update Document Version Properties service operation
CrCR Create an initial relationship management plan,CustomerRelationshipManagementPlan,Customer Relationship Management,Role for Create an initial relationship management plan service operation
UpCR Update details of an active relationship plan,CustomerRelationshipManagementPlan,Customer Relationship Management,Role for Update details of an active relationship plan service operation
CoCR Control the processing of a relationship plan (e.g. suspend),CustomerRelationshipManagementPlan,Customer Relationship Management,Role for Control the processing of a relationship plan (e.g. suspend) service operation
"EcCR Accept, verify, reject aspects of the plan",CustomerRelationshipManagementPlan,Customer Relationship Management,"Role for Accept, verify, reject aspects of the plan service operation"
RqCR Request intervention with a relationship plan (e.g. arrange a customer meeting),CustomerRelationshipManagementPlan,Customer Relationship Management,Role for Request intervention with a relationship plan (e.g. arrange a customer meeting) service operation
